"idhod","hodnota","stapro_kod","mj_cis","mj_kod","typosoby_kod","odvetvi_cis","odvetvi_kod","rok","ctvrtleti","uzemi_cis","uzemi_kod","stapro_txt","mj_txt","typosoby_txt","odvetvi_txt"
"741373605","269.6","316","78","80403","100","5103","Q","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741372615","276.6","316","78","80403","100","5103","H","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741381699","255.3","316","78","80403","200","5103","Q","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741372725","123.4","316","78","80403","100","5103","I","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
"741380819","118.1","316","78","80403","200","5103","I","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741371845","122.3","316","78","80403","100","5103","A","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741380599","501.9","316","78","80403","200","5103","G","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381149","44","316","78","80403","200","5103","L","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Činnosti v oblasti nemovitostí"
"741380159","1233.5","316","78","80403","200","5103","C","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zpracovatelský průmysl"
"741371955","42","316","78","80403","100","5103","B","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Těžba a dobývání"
"741380269","31.3","316","78","80403","200","5103","D","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741381259","144.9","316","78","80403","200","5103","M","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Profesní, vědecké a technické činnosti"
"741380929","93.3","316","78","80403","200","5103","J","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Informační a komunikační činnosti"
"741381039","68.6","316","78","80403","200","5103","K","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Peněžnictví a pojišťovnictví"
"741380049","41.8","316","78","80403","200","5103","B","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Těžba a dobývání"
"741372835","95.5","316","78","80403","100","5103","J","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Informační a komunikační činnosti"
"741373165","152.9","316","78","80403","100","5103","M","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Profesní, vědecké a technické činnosti"
"741373385","294.8","316","78","80403","100","5103","O","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Veřejná správa a obrana; povinné sociální zabezpečení"
"741372065","1247.5","316","78","80403","100","5103","C","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zpracovatelský průmysl"
"741372945","72","316","78","80403","100","5103","K","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373055","46.5","316","78","80403","100","5103","L","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Činnosti v oblasti nemovitostí"
"741373715","55.2","316","78","80403","100","5103","R","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Kulturní, zábavní a rekreační činnosti"
"741373825","43.6","316","78","80403","100","5103","S","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372175","31.8","316","78","80403","100","5103","D","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741373275","164.4","316","78","80403","100","5103","N","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741373495","299.7","316","78","80403","100","5103","P","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741372285","54.8","316","78","80403","100","5103","E","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372395","271.9","316","78","80403","100","5103","F","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741380379","53.7","316","78","80403","200","5103","E","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741381369","153.6","316","78","80403","200","5103","N","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741381589","271.5","316","78","80403","200","5103","P","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741372505","519.9","316","78","80403","100","5103","G","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381479","289.5","316","78","80403","200","5103","O","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380489","268.7","316","78","80403","200","5103","F","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741380709","272.2","316","78","80403","200","5103","H","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741381809","51","316","78","80403","200","5103","R","2008","2","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
